Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 75.0000, RRI = 15.0000, Vehicle speed = 48.0000, AoI = 63.8078
Vehicle density = 90.0000, RRI = 15.0000, Vehicle speed = 40.0000, AoI = 63.6985
Vehicle density = 85.0000, RRI = 15.0000, Vehicle speed = 42.3529, AoI = 63.5314
Vehicle density = 81.0000, RRI = 15.0000, Vehicle speed = 44.4444, AoI = 62.6009
Vehicle density = 81.0000, RRI = 15.0000, Vehicle speed = 44.4444, AoI = 62.6009
Vehicle density = 82.0000, RRI = 15.0000, Vehicle speed = 43.9024, AoI = 61.6525
Vehicle density = 83.0000, RRI = 15.0000, Vehicle speed = 43.3735, AoI = 60.7317
Vehicle density = 82.0000, RRI = 15.0000, Vehicle speed = 43.9024, AoI = 61.6525
Vehicle density = 83.0000, RRI = 15.0000, Vehicle speed = 43.3735, AoI = 60.7317
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 85.0000, RRI = 15.0000, Vehicle speed = 42.3529, AoI = 63.5314
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 86.0000, RRI = 15.0000, Vehicle speed = 41.8605, AoI = 62.6267
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 83.0000, RRI = 15.0000, Vehicle speed = 43.3735, AoI = 60.7317
Vehicle density = 87.0000, RRI = 15.0000, Vehicle speed = 41.3793, AoI = 61.7482
Vehicle density = 84.0000, RRI = 16.0000, Vehicle speed = 42.8571, AoI = 61.6317
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 85.0000, RRI = 15.0000, Vehicle speed = 42.3529, AoI = 63.5314
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
Vehicle density = 84.0000, RRI = 15.0000, Vehicle speed = 42.8571, AoI = 59.8376
